ID, Dup Num, CVE, Date Opened, Status, Severity, Dup Dates
636558,1,,,,,Aug 05 2016 20:02:46
619375,0,,Jun 12 2016 04:00:53,WontFix,High
619377,0,,Jun 12 2016 04:08:09,Verified,High
619373,0,,Jun 12 2016 03:55:51,Fixed,High
421500,0,,Oct 08 2014 16:28:46,Fixed,High
623985,0,,Jun 28 2016 16:00:21,Fixed,High
449047,0,,Jan 15 2015 05:38:40,Fixed,High
421504,0,,Oct 08 2014 16:38:41,Fixed,High
138990,0,,Jul 25 2012 18:11:27,Fixed,High
528799,0,,Sep 06 2015 20:56:54,Fixed,High
528798,0,,Sep 06 2015 20:56:26,Fixed,High
167868,0,,Dec 30 2012 15:05:24,Fixed,High
179631,0,,Mar 02 2013 15:17:09,Fixed,High
531664,0,,Sep 14 2015 20:44:29,Fixed,High
34978,0,,Feb 08 2010 08:27:11,Fixed,High
559310,0,,Nov 20 2015 20:38:09,Fixed,High
113799,1,,Feb 11 2012 08:40:31,Fixed,High,Feb 11 2012 17:48:22,0
84584,0,,Jun 01 2011 08:01:06,Fixed,High
643982,0,,Sep 04 2016 09:12:34,Fixed,High
403276,0,2014-3192,Aug 13 2014 10:43:33,Fixed,High
458868,0,,Feb 15 2015 23:30:56,Fixed,High
83275,0,2011-2332,May 19 2011 20:11:22,Fixed,High
252926,0,,Jun 21 2013 22:12:29,WontFix,High
83270,1,2011-2354,May 19 2011 19:17:09,Fixed,High,May 24 2011 18:14:42,5
179522,2,2013-2845,Mar 01 2013 22:54:51,Fixed,High,Mar 05 2013 09:56:21,Mar 20 2013 01:48:53,4,19
118806,0,,Mar 18 2012 07:39:10,WontFix,High
280128,0,,Aug 27 2013 13:25:44,Fixed,High
473688,0,,Apr 03 2015 15:14:13,Fixed,High
118803,0,,Mar 18 2012 07:10:35,Fixed,High
411736,0,,Sep 07 2014 23:15:53,WontFix,High
37310,0,,Mar 03 2010 17:03:08,Fixed,High
164565,0,2012-5153,Dec 06 2012 10:57:13,Fixed,High
108958,1,2012-3645,Jan 03 2012 06:04:20,Fixed,High,Mar 19 2012 13:14:25,76
115028,0,2011-3037,Feb 20 2012 19:55:47,Fixed,High
123709,0,,Apr 16 2012 23:18:43,Fixed,High
28566,0,,Nov 23 2009 14:44:59,Verified,High
613971,0,,May 23 2016 10:19:13,Fixed,High
14719,0,,Jun 19 2009 16:44:48,Fixed,High
108006,0,2011-3922,Dec 19 2011 00:24:52,Fixed,High
656419,1,,,,,Oct 28 2016 09:01:25
658494,0,,Oct 22 2016 02:16:24,Verified,High
107664,0,,Dec 15 2011 06:48:21,WontFix,High
99732,0,2012-3633,Oct 10 2011 18:59:47,Fixed,High
226659,0,,Apr 04 2013 19:03:58,Fixed,High
444717,0,,Dec 22 2014 23:52:47,Fixed,Critical
284792,0,,Sep 03 2013 22:46:24,Fixed,High
282925,0,2013-6623,Aug 31 2013 15:11:58,Fixed,High
176514,0,,Feb 15 2013 17:18:52,Fixed,High
44424,0,,May 18 2010 01:46:15,Fixed,High
176510,0,,Feb 15 2013 17:03:16,WontFix,High
282922,0,,Aug 31 2013 15:04:27,Fixed,High
30525,0,,Dec 16 2009 00:56:17,Fixed,High
156383,0,,Oct 17 2012 17:24:14,Fixed,High
67100,0,,Dec 16 2010 02:00:55,Verified,High
395650,0,,Jul 21 2014 16:03:36,Fixed,High
569496,0,2016-1631,Dec 14 2015 09:59:35,Fixed,High
18639,0,,Aug 06 2009 16:43:37,Fixed,High
67363,0,,Dec 17 2010 21:18:02,Fixed,High
477819,0,,Apr 16 2015 22:14:00,Fixed,High
164643,0,2013-0898,Dec 06 2012 19:32:57,Fixed,High
78053,1,,Mar 31 2011 16:35:54,Fixed,High,Mar 09 2011 12:05:57,-22
136116,0,2013-0948,Jul 05 2012 19:40:04,Fixed,High
440836,1,,Dec 10 2014 17:11:58,Fixed,High,Dec 15 2014 10:50:02,5
440834,0,,Dec 10 2014 17:07:16,Fixed,High
31692,0,,Jan 06 2010 20:34:53,Verified,High
303232,0,,Oct 02 2013 17:32:41,Fixed,High
123631,0,2012-3703,Apr 16 2012 16:56:57,Fixed,High
147459,0,,Sep 09 2012 02:39:45,Fixed,High
517913,0,,Aug 07 2015 16:48:20,Fixed,High
28699,0,,Nov 24 2009 13:42:54,Fixed,High
148896,0,,Sep 13 2012 06:20:40,Fixed,High
342618,0,2014-1701,Feb 11 2014 01:53:33,Fixed,High
359802,0,2014-1736,Apr 03 2014 22:33:15,Fixed,High
363873,0,,Apr 16 2014 01:23:50,Fixed,High
551028,0,,Nov 03 2015 18:29:33,Fixed,High
91665,0,2011-2839,Aug 04 2011 13:54:00,Fixed,High
421321,0,,Oct 08 2014 06:00:14,Fixed,High
59036,0,,Oct 13 2010 12:36:21,Verified,High
50250,0,,Jul 26 2010 19:23:06,Fixed,High
560011,0,2016-1630,Nov 22 2015 21:08:39,Fixed,High
263178,0,,Jul 22 2013 21:58:01,Fixed,High
